symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MATX,2016-12-31,False,FY,2016,10-K,1941600000.0,153200000.0,80500000.0,1.87,1.85,0.0,2015500000.0,274200000.0,279200000.0,13900000.0,471500000.0,157800000.0,-320700000.0,151300000.0
MDU,2016-12-31,False,FY,2016,10-K,4128828000.0,409120000.0,63748000.0,0.33,0.33,0.755,6284467000.0,977475000.0,669659000.0,46107000.0,2316244000.0,462209000.0,-305095000.0,-194914000.0
AMSF,2016-12-31,False,FY,2016,10-K,396662000.0,,77865000.0,4.08,4.05,0.72,1518856000.0,,,58936000.0,456150000.0,114212000.0,-50478000.0,-74279000.0
AMKR,2016-12-31,False,FY,2016,10-K,3893635000.0,293940000.0,164190000.0,0.69,0.69,0.0,4092086000.0,1409696000.0,1005661000.0,549518000.0,1403404000.0,729402000.0,-589427000.0,-112179000.0
ANSS,2016-12-31,False,FY,2016,10-K,988465000.0,376242000.0,265636000.0,3.05,2.99,0.0,2800526000.0,1169401000.0,539100000.0,822479000.0,2208405000.0,356827000.0,-32173000.0,-279477000.0
ANIK,2016-12-31,False,FY,2016,10-K,103379000.0,50607000.0,32547000.0,2.22,2.15,0.0,240246000.0,170440000.0,8799000.0,104261000.0,222773000.0,23801000.0,-6763000.0,-23346000.0
AMAT,2017-01-29,False,Q1,2017,10-Q,3278000000.0,807000000.0,703000000.0,0.65,0.65,0.0,15244000000.0,9094000000.0,3808000000.0,3491000000.0,7687000000.0,646000000.0,-367000000.0,-194000000.0
MAA,2016-12-31,False,FY,2016,10-K,1125348000.0,,211915000.0,2.69,2.69,3.33,11604491000.0,,,33536000.0,6639795000.0,484039000.0,-710487000.0,222425000.0
MCO,2016-12-31,False,FY,2016,10-K,3604200000.0,638700000.0,266600000.0,1.38,1.36,1.49,5327300000.0,3253100000.0,2428200000.0,2051500000.0,-1027300000.0,1226100000.0,102000000.0,-1009800000.0
APLP,2016-12-31,False,FY,2016,10-K,562360000.0,,-9345000.0,0.0,0.0,0.0,1903374000.0,70191000.0,30975000.0,217000.0,,213029000.0,-47266000.0,-166018000.0
AGII,2016-12-31,False,FY,2016,10-K,1576500000.0,,146700000.0,4.86,4.75,0.86,7205000000.0,,,86000000.0,1792700000.0,181400000.0,-145100000.0,-72100000.0
ATRO,2016-12-31,False,FY,2016,10-K,633123000.0,73139000.0,48424000.0,1.66,1.61,0.0,604344000.0,255073000.0,86560000.0,17901000.0,337449000.0,48854000.0,-14622000.0,-34806000.0
MPLX,2016-12-31,False,FY,2016,10-K,2590000000.0,,233000000.0,0.0,0.0,0.0,16646000000.0,740000000.0,704000000.0,234000000.0,,1288000000.0,-1212000000.0,115000000.0
MUR,2016-12-31,False,FY,2016,10-K,1809575000.0,,-275970000.0,-1.6,-1.6,1.2,10295860000.0,1559183000.0,1502432000.0,872797000.0,4916679000.0,600795000.0,286087000.0,-290881000.0
MSCI,2016-12-31,False,FY,2016,10-K,1150669000.0,488104000.0,260855000.0,2.72,2.7,1.0,3082578000.0,1055670000.0,536570000.0,791834000.0,317605000.0,434738000.0,-42031000.0,-365274000.0
NBHC,2016-12-31,False,FY,2016,10-K,200475000.0,,23008000.0,0.81,0.79,0.07,4573046000.0,,,152736000.0,536189000.0,-3936000.0,114629000.0,-124049000.0
AAWW,2016-12-31,False,FY,2016,10-K,1839627000.0,168311000.0,41516000.0,1.67,1.65,0.0,4247379000.0,358070000.0,565178000.0,123890000.0,1517338000.0,232182000.0,-457388000.0,-75475000.0
NCR,2016-12-31,False,FY,2016,10-K,6543000000.0,599000000.0,221000000.0,1.76,1.71,0.0,7673000000.0,2757000000.0,1965000000.0,498000000.0,699000000.0,894000000.0,-189000000.0,-467000000.0
NVRO,2016-12-31,False,FY,2016,10-K,228504000.0,-23081000.0,-31778000.0,-1.12,-1.12,0.0,430583000.0,420291000.0,42198000.0,41406000.0,249034000.0,-58503000.0,-131687000.0,145164000.0
NWHM,2016-12-31,False,FY,2016,10-K,694456000.0,,21022000.0,1.02,1.01,0.0,419136000.0,,,30496000.0,244624000.0,-42416000.0,1789000.0,25249000.0
NP,2016-12-31,False,FY,2016,10-K,941500000.0,114100000.0,72300000.0,4.31,4.24,0.0,765600000.0,236300000.0,108000000.0,3100000.0,338300000.0,115800000.0,-68200000.0,-48400000.0
NR,2016-12-31,False,FY,2016,10-K,471496000.0,-57213000.0,-40712000.0,-0.49,-0.49,0.0,798183000.0,462940000.0,179801000.0,87878000.0,500543000.0,11095000.0,-28260000.0,-650000.0
NEE,2016-12-31,False,FY,2016,10-K,16155000000.0,4608000000.0,2912000000.0,6.29,6.25,3.48,89993000000.0,7409000000.0,10919000000.0,1292000000.0,25331000000.0,6336000000.0,-8110000000.0,2495000000.0
NEP,2016-12-31,False,FY,2016,10-K,715000000.0,290000000.0,82000000.0,1.88,1.88,0.0,7150000000.0,355000000.0,397000000.0,147000000.0,2169000000.0,328000000.0,-1156000000.0,807000000.0
NE,2016-12-31,False,FY,2016,10-K,2302065000.0,-761946000.0,-929580000.0,-3.82,-3.82,0.2,11440117000.0,1192614000.0,633293000.0,725722000.0,6467445000.0,1128282000.0,-669931000.0,-244874000.0
BNFT,2016-12-31,False,FY,2016,10-K,233335000.0,-32168000.0,-40058000.0,-1.35,-1.35,0.0,180410000.0,96275000.0,92073000.0,56853000.0,-33311000.0,-22826000.0,25516000.0,6089000.0
NSH,2016-12-31,False,FY,2016,10-K,1756682000.0,,55068000.0,1.28,1.28,2.18,274630000.0,802000.0,30842000.0,207000.0,,49751000.0,40286000.0,-89864000.0
NS,2016-12-31,False,FY,2016,10-K,1756682000.0,359109000.0,150003000.0,1.27,1.27,0.0,5030545000.0,377183000.0,289396000.0,35942000.0,1611617000.0,436761000.0,-311078000.0,-211324000.0
OAS,2016-12-31,False,FY,2016,10-K,704665000.0,-130833000.0,-243016000.0,-1.32,-1.32,0.0,6178632000.0,238549000.0,381115000.0,11226000.0,2923157000.0,228018000.0,-1070828000.0,844306000.0
OXY,2016-12-31,False,FY,2016,10-K,10090000000.0,,-574000000.0,-0.75,-0.75,3.02,43109000000.0,8428000000.0,6362000000.0,2233000000.0,21497000000.0,3383000000.0,-4742000000.0,391000000.0
OII,2016-12-31,False,FY,2016,10-K,2271603000.0,70764000.0,24586000.0,0.25,0.25,0.96,3130315000.0,1262595000.0,508364000.0,450193000.0,1516643000.0,340522000.0,-169471000.0,-97142000.0
OCN,2016-12-31,False,FY,2016,10-K,1387163000.0,,-199762000.0,-1.61,-1.61,0.0,7655663000.0,,,256549000.0,655283000.0,474661000.0,-791619000.0,316235000.0
BSFT,2016-12-31,False,FY,2016,10-K,340962000.0,15507000.0,816000.0,0.03,0.03,0.0,651200000.0,358669000.0,130891000.0,82993000.0,301234000.0,67097000.0,-156087000.0,-2467000.0
BWEN,2016-12-31,False,FY,2016,10-K,180840000.0,1909000.0,319000.0,0.02,0.02,0.0,117662000.0,58190000.0,43251000.0,18699000.0,68583000.0,17300000.0,-3164000.0,-3319000.0
OHI,2016-12-31,False,FY,2016,10-K,900827000.0,509745000.0,366415000.0,1.91,1.9,2.36,8949260000.0,,,93687000.0,4211986000.0,625791000.0,-1113908000.0,576296000.0
OGE,2016-12-31,False,FY,2016,10-K,2259200000.0,503300000.0,338200000.0,1.69,1.69,1.155,9939600000.0,549500000.0,1027200000.0,300000.0,3443800000.0,644600000.0,-620400000.0,-99100000.0
OGS,2016-12-31,False,FY,2016,10-K,1427232000.0,269120000.0,140095000.0,2.67,2.65,1.4,4942791000.0,568923000.0,443933000.0,14663000.0,1888280000.0,281567000.0,-308579000.0,39242000.0
OUT,2016-12-31,False,FY,2016,10-K,1513900000.0,204900000.0,90900000.0,0.66,0.66,1.36,3738500000.0,378200000.0,251500000.0,65200000.0,1233000000.0,287100000.0,-36700000.0,-286500000.0
PBFX,2016-12-31,False,FY,2016,10-K,187335000.0,112055000.0,81622000.0,6.029999999999999,6.029999999999999,0.0,748130000.0,148059000.0,66618000.0,64221000.0,,99618000.0,79564000.0,-133639000.0
PBF,2016-12-31,False,FY,2016,10-K,15920424000.0,498883000.0,170811000.0,1.74,1.74,1.2,7621927000.0,3407255000.0,2056547000.0,746274000.0,2570684000.0,651934000.0,-1393935000.0,543955000.0
CECO,2016-12-31,False,FY,2016,10-K,704392000.0,-32344000.0,-18712000.0,-0.27,-0.27,0.0,559601000.0,248193000.0,169212000.0,49507000.0,321503000.0,5912000.0,-34351000.0,11219000.0
PEB,2016-12-31,False,FY,2016,10-K,816421000.0,139317000.0,46952000.0,0.65,0.64,0.0,2809259000.0,,,33410000.0,1609116000.0,241260000.0,298693000.0,-532888000.0
PAG,2016-12-31,False,FY,2016,10-K,20118500000.0,574900000.0,342900000.0,3.99,3.99,1.1,8861100000.0,4421500000.0,4229600000.0,24000000.0,1779500000.0,365500000.0,-836700000.0,438800000.0
PFE,2016-12-31,False,FY,2016,10-K,52824000000.0,,7214000000.0,1.18,1.17,1.2,172000000000.0,38949000000.0,31115000000.0,2595000000.0,59840000000.0,15901000000.0,-7811000000.0,-8921000000.0
PMC,2016-12-31,False,FY,2016,10-K,2091100000.0,38400000.0,21600000.0,0.7,0.69,0.0,1299500000.0,552400000.0,182300000.0,5400000.0,544200000.0,30800000.0,-91700000.0,43200000.0
DOC,2016-12-31,False,FY,2016,10-K,241034000.0,,28124000.0,0.22,0.22,0.9,2888092000.0,,,15491000.0,1782318000.0,124779000.0,-1261176000.0,1148745000.0
PNW,2016-12-31,False,FY,2016,10-K,3498682000.0,855984000.0,442034000.0,3.97,3.95,2.56,16004253000.0,822219000.0,1292946000.0,8881000.0,4935912000.0,1023390000.0,-1252078000.0,198081000.0
CIK,2016-12-25,False,FY,2016,10-K,3127938000.0,479645000.0,211117000.0,1.81,1.79,1.08,6739645000.0,1150515000.0,571696000.0,353076000.0,1948942000.0,487504000.0,-1086415000.0,771264000.0
GTLS,2016-12-31,False,FY,2016,10-K,859154000.0,57372000.0,28237000.0,0.92,0.91,0.0,1233082000.0,652977000.0,261534000.0,281959000.0,698677000.0,170814000.0,-18081000.0,7731000.0
CBPO,2016-12-31,False,FY,2016,10-K,341169426.0,143914622.0,101791878.0,3.79,3.74,0.0,604957509.0,393372291.0,73441112.0,183765533.0,521136823.0,123258611.0,-52520361.0,-22083938.0
PJC,2016-12-31,False,FY,2016,10-K,769874000.0,,-21952000.0,-1.73,-1.73,0.0,2125503000.0,,,41359000.0,816266000.0,48782000.0,-83726000.0,-111561000.0
PAA,2016-12-31,False,FY,2016,10-K,20182000000.0,994000000.0,726000000.0,0.43,0.43,0.0,24210000000.0,4272000000.0,4664000000.0,47000000.0,,726000000.0,-1273000000.0,563000000.0
PAGP,2016-12-31,False,FY,2016,10-K,20182000000.0,990000000.0,94000000.0,0.94,0.94,0.0,26103000000.0,4275000000.0,4666000000.0,50000000.0,,711000000.0,-1273000000.0,578000000.0
PRA,2016-12-31,False,FY,2016,10-K,870214000.0,,151081000.0,2.84,2.83,5.93,5065181000.0,,,117347000.0,1798702000.0,169120000.0,-278939000.0,-13934000.0
PSB,2016-12-31,False,FY,2016,10-K,387389000.0,,62872000.0,2.32,2.31,3.0,2119371000.0,,,128629000.0,1810714000.0,250507000.0,-85008000.0,-225782000.0
CINF,2016-12-31,False,FY,2016,10-K,5449000000.0,,591000000.0,3.59,3.55,1.92,20386000000.0,,,777000000.0,7060000000.0,1103000000.0,-456000000.0,-414000000.0
CLVS,2016-12-31,False,FY,2016,10-K,78000.0,-372733000.0,-349137000.0,-9.07,-9.07,0.0,364557000.0,279410000.0,65597000.0,216186000.0,-3634000.0,-266680000.0,199299000.0,5176000.0
RPT,2016-12-31,False,FY,2016,10-K,260930000.0,70908000.0,52963000.0,0.66,0.66,0.86,2061498000.0,,,3582000.0,891691000.0,117095000.0,7746000.0,-127903000.0
RYN,2016-12-31,False,FY,2016,10-K,788278000.0,255777000.0,211972000.0,1.73,1.73,1.0,2685760000.0,164804000.0,91966000.0,85909000.0,1496752000.0,203801000.0,-283155000.0,114423000.0
O,2016-12-31,False,FY,2016,10-K,1103172000.0,,288491000.0,1.13,1.13,2.3915,13152871000.0,,,4246000.0,6787053000.0,804045000.0,-1701111000.0,866192000.0
RMAX,2016-12-31,False,FY,2016,10-K,176302000.0,72401000.0,22737000.0,1.29,1.29,0.6,437153000.0,81214000.0,46538000.0,57609000.0,60709000.0,64379000.0,-117332000.0,228000.0
RYAM,2016-12-31,False,FY,2016,10-K,868731000.0,137647000.0,67882000.0,1.61,1.55,0.28,1421939000.0,519508000.0,126979000.0,326655000.0,211749000.0,232225000.0,-86560000.0,79687000.0
RLGY,2016-12-31,False,FY,2016,10-K,5810000000.0,,213000000.0,1.47,1.46,0.18,7421000000.0,818000000.0,1050000000.0,274000000.0,2469000000.0,587000000.0,-190000000.0,-535000000.0
CCOI,2016-12-31,False,FY,2016,10-K,446900000.0,64042000.0,14929000.0,0.33,0.33,1.51,737892000.0,327623000.0,67913000.0,274319000.0,-53254000.0,107967000.0,-45234000.0,8341000.0
RWT,2016-12-31,False,FY,2016,10-K,305172000.0,,127510000.0,1.66,1.54,1.12,5483477000.0,,,212844000.0,1149428000.0,-545653000.0,1333661000.0,-795393000.0
COLM,2016-12-31,False,FY,2016,10-K,2377045000.0,256508000.0,191898000.0,2.75,2.72,0.69,2013894000.0,1412023000.0,362851000.0,551389000.0,1581511000.0,275167000.0,-49890000.0,-42023000.0
CBSH,2016-12-31,False,FY,2016,10-K,1187444000.0,,266391000.0,2.62,2.61,0.857,25641424000.0,,,494690000.0,2501132000.0,432367000.0,-805213000.0,652562000.0
COMM,2016-12-31,False,FY,2016,10-K,4923621000.0,574750000.0,222838000.0,1.16,1.13,0.0,7141986000.0,1993764000.0,857818000.0,428228000.0,1394084000.0,606225000.0,-54587000.0,-674373000.0
CSAL,2016-12-31,False,FY,2016,10-K,770408000.0,,-5497000.0,-0.04,-0.04,2.4,3318752000.0,,,171754000.0,-1402445000.0,375988000.0,-535231000.0,188766000.0
CTG,2016-12-31,False,FY,2016,10-K,324893000.0,-33347000.0,-34638000.0,-2.22,-2.22,0.18,126915000.0,83641000.0,29911000.0,9407000.0,78819000.0,2055000.0,-2593000.0,-497000.0
RF,2016-12-31,False,FY,2016,10-K,1201000000.0,,1099000000.0,0.87,0.87,0.255,125968000000.0,,,1853000000.0,16664000000.0,1954000000.0,-631000000.0,-1186000000.0
RNR,2016-12-31,False,FY,2016,10-K,1727837000.0,,480581000.0,11.5,11.43,1.24,12352082000.0,,,421157000.0,4866577000.0,469829000.0,-164532000.0,-386388000.0
RS,2016-12-31,False,FY,2016,10-K,8613400000.0,512600000.0,304300000.0,4.21,4.16,1.65,7411300000.0,2688500000.0,656000000.0,122800000.0,4179100000.0,626500000.0,-505100000.0,-100200000.0
REXR,2016-12-31,False,FY,2016,10-K,126192000.0,,22841000.0,0.36,0.36,0.0,1515008000.0,,,15525000.0,962140000.0,56432000.0,-361214000.0,315106000.0
RLJ,2016-12-31,False,FY,2016,10-K,1159995000.0,220397000.0,200352000.0,1.61,1.61,0.0,4023393000.0,,,456672000.0,2235277000.0,331363000.0,173371000.0,-182254000.0
RLI,2016-12-31,False,FY,2016,10-K,816328000.0,,114920000.0,2.63,2.59,2.79,2777633000.0,,,18269000.0,823572000.0,174463000.0,-53622000.0,-113653000.0
ROL,2016-12-31,False,FY,2016,10-K,1573477000.0,,167369000.0,0.77,0.77,0.5,916538000.0,290171000.0,276991000.0,142785000.0,568545000.0,226525000.0,-76842000.0,-136371000.0
RDC,2016-12-31,False,FY,2016,10-K,1843200000.0,518400000.0,320600000.0,2.56,2.55,0.0,8675600000.0,1580300000.0,483800000.0,1255500000.0,5113900000.0,900600000.0,-111400000.0,-17900000.0
